content,Date,Time,name,email,number
Very pleasantly surprised leaving from Cancun. Bright clean and large modern airport. Check-in for XL Airways was quick and efficient no delays at security ample seating in area with shops and food outlets. At 11 pm currency exchange was still open.,2021-09-27,08:29:30,Krish Mall,thomas09@jonsson.com,6291002416
Every time I am at the airport I see at least half the passengers disembark on the wrong section (transit) and I find them coming back. This takes too much time just because the busses we travel do not have voice over instructions. This could save ground staff so much hassle. The crowd in immigration is usually quite large but the egate card works for us.,2021-09-15,07:04:37,Indranil Banerjee,qhedlund@swipnet.se,+918519413727
Domestic terminal undergoing major renovations/additions. Long walk from gate through building site and then quite a way outside to taxi upon arrival. All ok if you are up to it but could be difficult for less mobile or with lots of baggage/children. Also ok if not pouring with rain. On departure taxi drops off and you have to cross a road without cover to get into terminal all ok if weather ok but you could get soaked if raining hard as is normal at this time of year. Was selected for hand baggage and clothing swab for explosives. Security staff nice and friendly.,2021-09-24,14:13:13,Nitara Bail,nkumar@ratta.net,+49(0)8021308754
As others have pointed out this airport has turned into a shopping mall with some airline gates. Everything is annoyingly designed to make you go in the shops from herding you from the security check through a giant tax- free shop almost without signage to the total lack of seating in the terminal itself. Airside areas are filthy shabby unwelcoming and with low ceilings. They have a lot of baggage belts at arrivals but usually just use a few of them with bags from several flights arriving on one belt resulting in chaos. Together with often long waiting times that is maybe also a method to make you go to the arrival shop. Also be prepared to walk to and from the gates. There are only a few moving walkways and they are - yes you guessed it only available in areas without shops.,2021-10-04,07:25:11,Mikael Larsson,lorenzetzold@aol.de,(07905) 051794
Went through Dublin twice on way to US and back on July 21 / Aug 16 2014. Massive queues at US pre-clearance on way out which were understandable if rather frustrating. Less understandable on return when trying to catch connecting flight to UK around 5am queued at Dublin for around 1hr 15min to get through passport and screening even though had done same on leaving Boston and had been in presumably secure environment since then. Hundreds in queue again connecting flights having to be held travellers beginning to panic as gate closure times being passed. Not a good advert for the airport with foreign visitors being especially unhappy first time have used this route and will think twice next time.,2021-10-09,06:00:41,Pihu Deshmukh,charmiraya@aurora.com,+49(0)9150660144
This is the worst airport I've been to. Very unpleasant staff. They don't understand French in customs so they couldn't figure out my passport's expiration date. Very chaotic and disorganised especially during check-in.,2021-09-17,01:51:14,Albertine Eigenwillig-Davids,carmelo73@noack.de,09100533966
I have arrived and departed via Terminal 2 (domestic flights) several times and it has been a decent experience. In fact CUN was making some progress previous to the Hurricane Wilma incident. The location of the airport is quite far away from Cancun but its in the center of the Maya Riviera complex. True many improvements can be made (especially when it comes to entertainment and ventilation) but it fares quite well compared to other Mexican airports. Transportation wise there are some problems but it fares better than Honolulu or San Diego.,2021-10-04,17:24:03,Gloria Wende-Stey,ullaaxelsson@lindholm.org,07852251813
FLR is a very small airport- I believe the smallest I have ever been to. The LH check in was nice and relatively helpful especially as I had changed my ticket although they refused to check me in for my flight to O'hare. The bar was reasonably priced but a pain to use. The departures lounge was tiny with 5 gates for Schengen flights and one for International flights. They made us take a bus to the plane despite the fact that you could see it from the airport - it would have been quicker and better exercise to just walk to the plane. All in all an iffy airport.,2021-09-19,23:16:11,John Bengtsson,karin71@gustavsson.se,0066-187 27
I agree with the comments by Phil McVey (12 August 2008),2021-10-07,01:33:01,Ing. Karolina Matthäi,therese90@nilsson.org,+49 (0) 8481 925688
Please please get some training for your check in crew miserable is a mild word. I have travelled to Guernsey twice this year and both times the check in crew seem to be doing all pax a favour. Many years ago in BMI times in Guernsey this would not have been tolerated. All over Guernsey one gets superb service until you get to the airport and check into or ask a question on the Flybe desk. Having worked in tourism for many years(including Guernsey). I feel you are doing Fly be a great disservice. The flight was excellent and on time. Hope next time I will see a change.,2021-10-02,02:04:49,Tassilo Neureuther,ingegard68@googlemail.com,+46 (0)8 384 057 55
Cool modern design and lots of space to sit. I arrived in BRU too early and thus had a long wait for my flight and found you have to pay for the wireless internet. No entertainment thus. The free charging stations for your laptop/cell phone were useful though. Toilets clean (despite someone had been smoking in there). What I really found annoying was the journey to the luggage claim up and down escalators and long corridors. I also didn't realize the exit was in the middle of the luggage claim area and not in the end and thus wandered around looking a bit lost. There was also no mailbox after the security check - I forgot to mail my postcards before going in. The maps claimed there should've been one but I really couldn't find it. Rail connection to Brussels ok railway station sterile and boring.,2021-09-28,08:08:39,Ove Ek,lena91@larsson.com,06390083018
"An ""over large"" unfriendly airport. Very surly officials slow inefficient processing. Speed queues have not yet arrived in Dubai. Fortunately we were at a quiet time. Lots of overprices shops insufficient toilets and seating areas. A visit to Changi would be beneficial.",2021-09-12,18:40:30,Elisabeth Larsson,gbergman@friberg.org,+46 (0)8 290 452 26
MAN-ORK quick procedure in entrance small and easy to find everything good service counters.,2021-09-10,09:55:38,Stina Bengtsson,frank-michaelklingelhoefer@muelichen.de,0982573365
I fly through DIA every few month and find the airport to be one the best in the country. No matter which airline you fly on the check-in is always fast and efficient. Security can be a bit of a pain as it takes a long time but everything else is ok. The automated train reaches the concourses quickly and all concourses have a nice selection of restaurants and book stores. Even the immigration process goes by quickly. Upon arrival from Frankfurt I was greeted by a friendly customs agent and retrived my baggage with in an hour of my arrival. The only problem with the airport is the long taxi times and the bumpy departures and arrivals. Overall DIA is a very modern and pleasant airport.,2021-10-04,06:58:27,Aaina Das,msontag@wirth.com,052-83 30 87
New terminal just opened and looks very european - spacious good layout and good sign posting. New terminal only being used for arrivals at the minute and so departures was through the old terminal which was unfortunate. On departure the duty free shop sells books and magazines but no newspapers a sign says that newspapers are available for sale before you go through security but to get to the duty free shop in the first place you have to pass through security with no one allowed back out - I hope someone works that one out before the new terminal opens for departures.,2021-10-07,22:53:17,Valerij Hahn-Schüler,hans-gerdcichorius@kostolzin.com,4943787909
Flew from new Guangzhou Bayon to Ho Chi Minh City. Be prepared for delays going through security screening. With the new airport it appears they have hired a lot of new security screeners. While professional and unfailingly polite they lack experience. As such they do not recognize as safe such many harmless metal items as nail clippers tweezers (or in my casea cheap sewing kit scissors with a one-inch blade). As a result be prepared for delays - perhaps lengthy - while they spend a lot of time searching your bag (or that of the person ahead of you!) and examining these items which they then decide are harmless.,2021-09-24,01:13:10,Anders Andersson,ulla-brittnilsson@bergman.org,02986 302997
I think its a nice decent mid sized airport. Good location and has a very good number of flights to a variety of destinations.,2021-09-25,23:27:19,Prof. Andreas Speer,rauneysa@aurora.biz,05877239268
The new terminal 3 at Delhi Airport is well laid out clean and seems to be up to international standards. Signage is very clear. Immigration and emigration process times are fast. Luggage delivered pretty fast. Toilets clean. Shopping is satisfactory though merchandise variety especially quality Indian products within a reasonable price range could be better. The retail space available in the international section is definitely not some 20K m2 as advertised by DIAL. Not even close. Landside is not yet fully ready.,2021-09-11,18:04:55,Ernst Carlsson,olssonmargareta@lundqvist.com,+49 (0) 6636 415331
"Pleasant modern airport not too big and not too small. Journey to and from Cairo is always fraught a shrug is the common response to asking how long you should allow but let's hope the Metro promised for next year materialises on time. But why can't the toilets have soap? And be less smelly? Why can't the ""FreeAirportWifi"" work? Why do the scamming porters who clamour to push your luggage 30 meters whether you protest or not and then ask for money apparently do so with the airport's blessing and wearing an official looking uniform? These are all national stereotypes but better airport management would roll them back a bit and encourage tourists back to Egypt.",2021-10-04,04:54:56,Richard Eriksson,dorisandersson@petersson.net,08-489 511 71
What more can you say about DXB that hasn't already been said? It's bursting at the seems and the DFS are laid out in such a way that it sees everyone assembled in the only main corridor that runs the length of the terminal! I got bogged down just trying to navigate my trolley around the place. The immigration and security lines took nearly 1hr with so many empty counters and only 5 staff doing passport checks. Dubai is busiest in the early morning and the evening so you'd think it'd be geared with more staff but that isn't the case. Whenever I fly via DXB I always enter with a sense of dread and accomplishment when I get out of there in one piece. Then new facility for the A380 is fantastic but also crowded though I didn't experience it so much as I was using the lounge but sure enough the lounges were bursting at the seems too. Dubai Airport needs to stop building long narrow tubes and start building wide malls like the massive shopping malls in the city.,2021-09-11,17:09:33,Louise Göransson,akarshvenkataraman@mane.com,5837212228
Going through Customs in Charlotte was horrible. Long lines. Very few employees. One employee in particular was rude and obnoxious. I have been through Customs many other places including London a week ago...all were a breeze to get through. Charlotte also used to be easy. What has happened?,2021-09-28,10:03:30,Dipl.-Ing. Inga Weitzel B.Eng.,kolsson@gmail.com,+49 (0) 1517 277603
This airport is a joke for all the tall claims Qatar Airways or their ads make. The Airport is a disaster starting with the longest bus ride from the plane to the Terminal (at time waiting at the door of the plane as the Bus has not yet found its way to us). Once you get to the terminal things get worse. There are two or three outlets where you can buy food. The selection is rubbish service is shabby. The prices are over the top. The available lounges are small and most of the time they refuse to honour the complimentary access assured by our Credit Cards (Platinum and above). I would hate to be stranded there more than an hour or so.,2021-09-26,00:22:06,Anna Gunnarsson,inyman@spray.se,0227699097
Small but fantastic airport very modern and clean. Terminal is easy to get around Internet is quick and many shops and dining areas present at the airport. All in all a great new airport and one of the finest in Australasia.,2021-10-09,08:21:49,Suhana Varty,susanneengstrom@andersson.se,1863785315
CLT is a very nice airport with an easy-to-understand approach. It is also the airport of choice if you are supposed to be heading to any location in South Carolina like CAE (Columbia) or GSP (Greenville- Spartanburg). Taking that next leg is quite expensive so land at CLT and rent a vehicle. The parking garage is simple and very close to the main building. I'd recommend CLT as a good portcall for anyone entering the USA as their customs are efficient.,2021-09-25,13:32:30,Ivana Sama,ulrika22@gmail.com,08-622 950 38
Very disappointed that since the take over of Cardiff airport no budget airline has returned eg. BMI Baby or would be nice to see Ryanair or EasyJet. Living in Wales we should be able to get flights for the same price as available from Bristol airport and not get the extra flight supplements also more competitive airlines than Thomson or Thomas Cook. I and many friends and family choose to travel to Bristol driving past Cardiff airport as there is usually a saving of at least £600 per family booking when travelling from Bristol with these airlines. Cardiff really needs to look at the services and flights available if it is going to develop in a competitive market.,2021-09-13,22:22:10,Martine Mude-Klemm,niclas39@nilsson.se,(06484) 382691
Just arrived back from Turkey via Dalaman Airport - holiday but was ruined by my experience at this airport. Security screening and check in was fine but when they opened the gate for boarding it was absolute chaos. They didn't call for passengers disabled or with children to come forward first. Nor did they call people in certain rows. There were two flights for the same gate 34 and people were confused about which queue to be in as no direction was given. Then they couldn't get buses to take passengers to the plane last call was flashing on the screen and 100's of passengers were still waiting to be transported to the plane. It must have been a frightening experience for elderly and disabled people. I don't think I could face this airport again. Thankfully we did not purchase any food here as we had been warned in advance about the outrageous prices.,2021-09-27,04:29:11,Henrik Andersson,jonssondagmar@yahoo.de,+49(0)6916 394515
Despite airbridges had to walk across a cold rain drenched apron likewise on departure. Then up two flights of stairs to get to passport control. A woman just bypassed the queue at this stage and walked out through an unmanned desk. Remarkable. Luggage took a while to arrive on the carousel our aircraft was the only one on the apron. Departure was more buisness like.,2021-10-07,08:35:49,Johannes Johnsson,nkrein@junitz.com,+49 (0) 0959 581289
We recently went from Lubbock to Miami via Dallas/Ft. Worth on American Airlines. Dallas is one of the best airports I've been to. The American Airlines Terminal A is very new very modern has lots of food and retail options and is very uncrowded. The half-circle layout of the terminal was excellent because it doesn't take forever to get from one gate to another. The Skylink stops are very convenient and there are 2-3 in each terminal it's a good way to get from one terminal to the other without taking a bus. Our flight to Miami was out of Terminal C another very modern very clean terminal. Overall a nice airport serving the Dallas area.,2021-10-07,12:23:36,Anna Johansson,kanav70@ben.com,+49 (0) 7942 531446
Terminal A for Schengen flights is quite comfortable with much natural daylight and plenty of seating areas. But it is quite a long walk to the baggage claim area using numerous escalators. Catering is good and reasonably priced. Trains to downtown Brussels run every 20min and are cheap. Please note that the ticket vending machines accept Euro coins only and no credit cards. Signals in the check-in halls could be improved as it is rather difficult to locate the right counter.,2021-09-19,16:17:09,Per Strand,lillemor14@pettersson.se,4386524405
"As a first time user of this airport I was extremely disappointed. Going through security was as you expect busy, however when I went through I had very rude staff who work in the duty free shop push in front of me, and were incredibly rude about it. As I walked through the scanner, I went to get my items, to which the rude employee was stood waiting for her bag. I literally just picked up my coat and she decided to be condescending and rude telling me to move my stuff. I said I'm just picking up my coat. To which she replied abruptly no one else can get their stuff - bearing in mind there was a massive queue of trays before mine, but as she pushed in those people were still filtering through. Not happy. First time users do not know how every single airport works as this one seems very different. Maybe they should come up with a better idea for staff instead of them going through with customers as they seem to not be able to get to work in enough time to allow for the checks.",2021-09-27,17:49:04,Ojas Balasubramanian,lioba63@warmer.de,3081606617
"Arrived at 5.40 am for a 6.45 flight. Had checked in online and had only hand baggage. Went directly to security where we were forced to wait outside closed doors for five minutes. Edinburgh is transitioning to a new security hall. The passengers who have already been through security in the new hall have to cross at right angles the passengers who have yet to go through security in the old hall. Their solution is to close the doors to the old hall let the ""new hall"" passengers cross then close the doors to the new hall and let passengers pile into the old hall. We were told not to go to the new hall but wait there for the old hall. So we waited. On entry we found an enormous queue of passengers and only two security lanes (plus fast track) in operation. This was rush hour at Edinburgh airport. There was no calling of passengers forward for flights that were already boarding it was a case of hurry-up-and-wait (and no information). The passengers were shirty the security staff were harassed and rude. Bottom line - despite being an hour early for my flight and only needing to get through security I missed my plane. I wasn't the only one - three of us converged on the boarding gate at the same time. The only alternative flight was towards the end of the afternoon so my trip was cancelled. Edinburgh security used to be a dream (10-15 mins even during rush hour). Now it's a nightmare. There's no information on the website to let you know to be very early for your flight. Fast-track might just be worth it although another reviewer's comment about the lack of fast track in the new hall suggests maybe not.",2021-09-10,10:02:31,Ing. Anna-Maria Hartmann MBA.,wandakaul@gmail.com,07547936709
I have travelled extensively around the world and would have to say that Cairns Domestic Airport is nothing short of disgraceful. Check in is OK but from there on it's an absolute shambles. Several flights have passengers in the one queue and you don't have any idea if you are in the correct one. The Airlines P/A is inaudible and there is very little seating in the common boarding area. Once you have worked out that you are in the correct very long queue it's a long wait to get through to the boarding check in and then it's almost a marathon walk to the aircraft. It must be at least 800+ metres and after walking up and down concrete ramps you then end up on an airbridge. There is no doubt that this appalling airport will put me off visiting Cairns again.,2021-09-14,17:13:57,Åke Andersson,hakan78@swipnet.se,0682-667 41
Bit unfair to review in some ways as this airport is currently being re-vamped. The domestic side is in dire need of work. Small pokey and tired it will be hopefully much improved soon. The International departures area has been done and is quite good though there are not enough seats when it is busy and it is lacking in character. What a shame this pretty city did not get an airport that reflects some of it's charm?,2021-10-04,00:38:13,Elisabeth Carlsson,giselawilms@wagenknecht.de,+49(0)4383 976402
A surprisingly good airport in terms of efficiency. While check-in is becoming a bit more chaotic and takes longer due to increased traffic it still has one of the quickest check-in times for an airport in Europe. Arrivals are usually a breeze. I think the longest I've had to wait at passport control is 5 minutes and the longest for baggage 15 minutes. The building and services are in need of an upgrade but that's OK with me since it's easy to spend a minimum amount of time at the airport.,2021-10-05,12:26:00,Siya Agarwal,pnystrom@telia.com,08027 824553
My only experience of transiting DOH in the past was as a J class passenger and having read the reviews of the airport for transiting 'down the back' I did wonder if I had done the right thing. The flight was an hour early and there transit terminal security check was deserted so there were no bad experiences and I was soon walking around the duty free shops. Cost of food in the food outlets seemed OTT but there is nothing new in that concept! Boarding for the onward connection was orderly although making everyone use the rear steps for boarding was a pain especially as the other steps wouldn't have disturbed the J class passengers (who in fact hadn't boarded anyway). I sincerely hope that the new airport will do away with the need for bussing (which is pretty much a thing of the past at most airports). Otherwise not half as bad as I feared!,2021-09-14,12:58:45,Myra Seth,sara96@googlemail.com,+911625342403
Relatively small but efficient and clean. General facilities are good good duty free shopping. Some gates are much nicer that others especially toilets. Can be crowded at peak hours but not really a problem to move around or get in or out of it. The government has announced a new larger international airport will be built 60 km. South leaving La Aurora only for local flights and non commercial civil aviation. Eventually both airports are to be connected by a fast rail service.,2021-09-15,12:11:03,Margaretha Johansson,madeleine62@swipnet.se,+49(0)7300 74126
Nice modern small airport with friendly staff. When it is raining you get very wet walking to the aircraft. Restaurant and observation deck at first floor are very comfortable. Clean modern toilets and relaxed atmosphere all over the terminal. Parking facilities could be improved. Perfect bus connection to Eindhoven train station.,2021-09-26,01:47:04,Charlotte Jönsson,behltarini@kurian.com,02831144662
"Facilities in Departure Lounges - both domestic and international - excellent but the system of making transit pax sit in the ""visitors lounge"" until the security guard chooses to allow you through to check-in might mean you don't have a lot of time to appreciate them. The Visitors Lounges themselves are awful - they don't even have toilets. I was stuck in one for over 12 hrs and was not impressed.",2021-10-02,05:21:57,Prof. Margarethe Ditschlerin MBA.,eddaauch-schlauchin@hoevel.com,08637799195
Quite similar experience as any one - food stalls are empty display vague westernized food. Nowhere to go. But still the unmissable Indian experience.,2021-10-04,02:50:31,Marleen Naser,inaaya-13@dash.com,+46 (0)59 97 37 87
Landed here in thick fog check in good first occasion I flew out security was very slow and overly fussy. Second time much better seating plentiful at gates but airside catering facilities and shops limited. Weather can be an issue.,2021-10-10,02:14:07,Zoya Badal,elisabethkarlsson@live.se,08669 53800
Such a shame that Edinburgh is let down so badly by its baggage system. It is truly appaling - I arrive back into Edinburgh from various destinations once or twice a week and always wait for an eternity for my bag - just arrived home having arrived on a 45 min flight only to wait a further 40 for my bag. When the irate passengers begin to complain the staff are surly and unhelpful - shocking service.,2021-10-03,17:59:17,Ira Uppal,erik01@gustafsson.se,010-08 05 86
"Dammam airport is huge with about 65 gates but in reality it doesn't need to be. Arrival was painless. Immigration looks as if it will take forever at first but as soon as immigration staff realise it's going to be busy they open more desks and the queue soon clears. Customs scan every bag from every person as you leave. When returning you must have your checked luggage scanned before check in otherwise you cannot check the bag. Queues for check in weren't too bad but then I was 3 hours early for the KLM flight. Be prepared before going through security as although the queue looks long it moves fast and security staff get annoyed if they have to ask you to remove your belt watch etc but they are very pleasant if you are ready. The flight I was waiting for was leaving at 1:15am and there were a few international flights but the cafe was closed. The only place to buy refreshments was from a ""trolley"" however the coffee wasn't bad and wasn't too expensive but nothing to eat that was hot. There is one duty free shop with various items for sale (including washing powder?) and prices are okay. I walked from one end of the airport to the other which took 10 minutes at normal pace and only 6 gates had passengers waiting by them. Interestingly there used to be a few Business Class lounges but these appear to have been closed and moved to one lounge such is the under use of this airport. I would be happy to fly though this airport again mainly because even though there is nothing really to do it is easy to find somewhere quiet to relax and plenty of seats and the staff are mostly very friendly.",2021-09-17,10:47:04,Aaryahi Sethi,pramanathan@gmail.com,7799828909
It is normal to wait 2-3 hours at immigration which is very tiresome when you have already travelled for many hours. There is a total lack of security officers and obviously little or no organization. The management says it is a question of security but in reality it is impossible to hide how badly organized O'Hare immigrations is.,2021-09-11,16:26:25,Faiyaz Wable,vbolzmann@stumpf.de,08-637 64 75
45 minutes to wait for luggage when only one international flight had landed is simply unacceptable or to quote the word which was one of the options on the SMS questionnaire that passengers can complete pathetic. Also the luggage was delivered to a different carousel to the one shown on the boards. The aircraft I arrived on (EK) was parked away from the terminal and we were bussed to the terminal. The driver did not bother to park close to the steps and passengers had to walk through puddles of rainwater. The airport has good facilities is extremely clean and immigration was reasonably fast. Large areas are still under construction and I prefer not to think what might happen with the 2010 football matches. It is clear though that they are making an effort and are responsive to feedback as I received a call from a lady at the airport not long after sending off the SMS questionnaire..,2021-09-25,04:50:45,Vedika Sarin,lakshaybarad@hotmail.com,(09332) 65664
Airport fails to measure up. It is a great facility but when you get to the details it falls way short. Parking is a disaster and very expensive. The business lounge is ok (ish) but unless you have sixth sense and register before security you can't use it! If the airport is to cater for business passengers it will need to up its game.,2021-09-16,07:06:20,Anahi Mall,rtak@gmail.com,0187415421
Unfriendly staff at Emirates terminal horrible queues without any organization totally crowded airport and business lounges without any silent room or corner. At the gates almost no seating possibility. Small amount of finger docks long bus transfer times to and from the terminal and airplane up to 25 minutes.,2021-09-11,20:56:29,Margaretha Jonsson,nbandi@bawa.org,00737337620
Zaventem my home airport. Lots of nostalgic childhood memories because of the Sabena frequent flyer status of my father. Nowadays very nice check in lounge lots of good food drinking options Zaventem was and is Belgium's number one airport. The luggage pick up is still too slow. Smoking lounges too overcrowded and too small. But despite this few minor negative points Zaventem is a good organised clean airport its still the number one hub in Europe.,2021-09-11,11:52:07,Mesut Bohnbach,linneasvensson@persson.se,08-892 462 85
Really nice airport - clean and new with speedy transit both inbound and outbound. Only one issue - the cafe/restaurant in international departures woefully slow with disinterested staff.,2021-10-08,18:03:30,Wolfhard Neureuther,gunjohansson@nordin.org,(00942) 98670
Arrived from LHR at 0830 after 13hr flight non stop with BA. Immigration queue was OK took about 20 mins which meant our luggage was waiting on the carousel. Then it all went haywire. Air France Iberia Lufthansa and Alitalia flights all arrived within an hour of ours so imagine about 1000 people plus suitcases trying to get through customs. 6 lines all formed in a very haphazard way which then moulded into 4 lines for 4 x-ray machines. This took us an hour to get through and into arrival hall. Another 90 mins standing there while our holiday reps organised coach transport. International Terminal A and the surrounding roads can't cope at peak times for all these arrivals. Our departure was much smoother I'm pleased to say. Luggage drop off fine security queue took about 10 mins passport control about the same. Stayed in the LAN lounge which is close to our departure gate (10). The departure lounge is modern I hope they do something about the Arrivals hall which leaves a lot to be desired.,2021-09-12,23:48:49,Miraya Gopal,gutegerti@huebel.de,093-48 76 37
This airport is not as bad as people are saying. The only negative thing I can comment on is the long walk from terminal to terminal. However after 6 hours flight it was a pleasure to be able to stretch our legs and walk around a bit before our next flight. The check-out counter wasn't as bad bearing in mind we had our kids between us. Even my little on wanted to use the toilet as soon as we got to the immigration counter. It wasn't our turn but the staff asked the rest of the family to stay while I took my daughter to the toilets and back. We did have to collect our bags (route was to Orlando) and recheck them so they could be taken to Orlando. As soon as we left immigration there were airport staff waiting for us asking for bags to Orlando. The other negative is that you always have to check the boards to check which terminal you will be connecting. The announcement on our plane from London gave a different terminal when we were coming out but on getting inside airport the boards gave a completely different one. However I think it is a good airport. Yes the security checks is madness but this is the world we live in. I would rather go through this sort of security checks than be killed by some terrorist. In my opinion it is not a bad airport for its size. The airport is clean the toilet facilities were excellent the cafes restaurants and shops were good maybe a bit expensive but this is what you get at most airports.,2021-09-26,04:46:33,Bhamini Saha,hannah23@kreusel.net,+46 (0)8 981 018 62
I have just read the previous reviews and I'm sorry but I totally disagree with them! Quick check in quick through security yes they are strict but welcome to a modern safety conscious airport. Compared with some of the modern airports it could do with modernising however that really does not bother me. Parking was cheap at the Holiday Inn Express with a free taxi to the front door which took 2 minutes altogether. Cardiff airport has retained another passenger and would recommend to anyone else.,2021-10-01,00:18:49,Kerstin Andersson,elisabeth25@swipnet.se,00059465214
Pleasantly surprised - both incoming and outgoing - no real hassles crowds or delays - just follow the signs. Arrival to pick up approx 30mins drop off to duty free shopping approx 25 mins. That was in March 2011. Can't say the same about Melbourne arrivals - 1hr 30mins!,2021-09-23,16:22:11,Bo Hansen,obhattacharyya@sandal.com,+49(0)2679 80086
Clearly not designed for the numbers of people it handles. However I was there in low season and I think staff at least make a good attempt at moving people through efficiently. The biggest problem is the huge distance from the terminal to drop-off points with touts all along the way. Also the prices in the airport are the same as western airports (despite Bali being otherwise very cheap).,2021-09-17,17:15:56,Vivaan Rana,indranilkannan@lall.com,08-97 89 72
With the new automated Boarding Pass terminals the check-in is pretty speedy which makes the check-in efficient. Restaurant & bar upstairs are reasonable and deliver good quality food & drink (helpful staff!). Friendly ground-personnel and no need to run a marathon to reach the gate makes it a relaxing experience. Once you go though the security and passport check you seem to arrive in quite a different country all-together: 'tax-free' is a complete rip-off prices of salmon are triple(!) of that in Cork (same trademark and quantity) so duly you bleed for your families request. A cup of coffee at the bar suffers the same added-value while seemingly being made out a mixture of tarmac and dishwater here the personnel seems to be trained not to understand any language (I tried 3) and so ignoring my protest (he was probably rightfully to ashamed to respond). The permanent wind over the tarmac - Cork airport is on the top of a hill - blows you right in the direction of your plane. Arriving back is a breeze after a good lunch upstairs (I don't like the grub in planes) missing the bus I queried a cab-driver: € 42 for airport to Cobh so I informed him it was € 30 the other way around with a Cobh taxi firm his response: 'Ah ye see that's why we don't allow them for pickup any fares from here' welcome home.,2021-10-06,16:17:20,Waltrud Bolzmann-Pölitz,hueseyin48@gmx.de,+49(0)8103608037
Passed through on the way to Japan and was pleasantly surprised. I like this airport very much. Very clean excellent signage excellent dining options (pricey but good) video boards with the playoffs on the walls everything seems to run smoothly. Also had comfortable chairs which is nice.,2021-09-11,03:18:32,Jessica Gierschner,sandragustafsson@bengtsson.net,+916850360600
Well organized airport with GOOD security checks. Queues are well organized processing is speedy with helpful attendants. Good selection of shops and food-outlets once you are through security. Restaurants fairly priced and courteous staff. Good selection of authentic Belgian products at competitive prices.,2021-10-04,02:14:12,Liliane Stahr,birnbaumraik@googlemail.com,6928887043
I have flown into Maracaibo via CCS twice this year (both Air France) and after both experiences I have to remind myself to fly via Aruba next time even with the extra 200 EUR of flying KLM (AMS- Aruba). The reasons - All European flights arrive around the same time so you can imagine the line at the immigration counters. Of 10 desks on both times there were only 3 open. First time we queued for 1.5 hours (and the suitcases were waiting outside next to the belt). The second time we risked missing our connecting flight so an officer kindly let us skip the +2 hrs queue at the time we got on the line. The international and domestic terminals are not connected so when transferring it takes a 10 min walk (and carrying your suitcases) under a devil sun. You are not allowed to take the trolleys out of the terminals so the option you have (unless you carry it yourself) is to pay for a porter. I don't know how much it is since we decided to carry them ourselves. Be sure to cool off later on as the AC is barely noticeable inside the terminals. Domestic terminal same chaos as international. Upon departure make sure to check in as soon as it is open - same immigration queues! We were almost the first ones checking in and it still took us more than 30 mins to get through immigration! I must say however it is being remodelled and the new international departure area (before entering secure zone) has a nice food court incl Subway and TGI Fridays. Among others I have flown into Nigeria via Lagos and I must say Caracas is the worst airport I have ever encountered and will avoid it whenever possible. Departure tax is also more expensive than when flying out directly from Maracaibo (nice small international airport).,2021-09-14,23:26:03,Martin Karlsson,myriammangold@hornich.de,024-542 10 17
Florence airport has recently moved the ground floor check-in desks to the first floor which is completely revamped. Some good leather seating is provided in nice airy surroundings. However the 3 check-in monitors are very small and concentrated along one small area thus meaning passengers must walk up to view them. The disadvantage of these monitors (at the time we were there) is they only show the major airlines desk numbers several scheduled flights remained without desk numbers including our Vueling flight. It was only when we asked an employee that we discovered the desks for our flight. Even after we had checked in no desk numbers were shown on the screens. Security was quick and trouble-free. Prices in the duty free area were just outrageous higher than in the city. Plenty of seating at the departure gates.,2021-10-09,13:27:25,Mamooty Bhat,fmangold@gmx.de,+49 (0) 9854 696519
We were delayed 2 hours at immigration with long queues of tired passengers. The staff marshalling us into the lines were not interested in providing any comfort or words to ease the frustration. The immigration officials were slow and limited in number to make things worse I realise that the staff were merely doing their jobs and cannot be expected to hurry up the process so I blame the management of the area and the processes involved. If this situation is a continuing one then surely some way of improving the process more staff at peak times for example should be used. The stats for arrivals are no secret the airlines know the figures so why don't the immigration department official do something about it. Or maybe nobody really cares whether we visit again or not!,2021-09-11,19:39:06,Divij Dugar,armaan01@lad.com,+49(0)9119 372361
"Burbank airport is a welcome relief from LAX. It's small and yes does not have the amenities of a large modern airport but those are its strong points. It's a ""human scale"" airport the type that is fast disappearing. The convenience of the train station and the freeways makes it a great place to fly from.",2021-10-03,04:38:38,Alexander Olsson,norenstig@johansson.com,073-97 99 67
Having travelled through Colombo 4 times in the last couple of months I can say it is one of the better airports in the sub-continent which is faint praise indeed. The air-conditioning is anaemic the restrooms are only marginally acceptable the duty-free area in the arrivals hall is more like a bazaar with various traders vying for your attention. The drop-off area is over-crowded with people and with vehicles belching diesel fumes. Check- in is a nightmare with long lines and clueless ground staff. On the plus side the terminal is clean and well lit and less crowded past immigration and easy to navigate. Sadly the alterations and additions are very mediocre and the elegance of the original terminal with its colourful fabric ceiling have been long lost.,2021-10-01,04:24:39,Mesut Ditschlerin,cscholtz@web.de,0322-622 09
Beautiful efficient world class airport. Passengers should acknowledge the fact that the stringent security measures are for good reason. Excellent facilities.,2021-09-15,09:14:20,Kiaan Kohli,olga08@hotmail.de,0519-877 33
